Session,Bill Number
1995-89,HB-2576
1995-89,SB-1288
1995-89,SB-956
1995-89,SB-751
1995-89,SB-956
1995-89,SB-952
1995-89,SB-952
1995-89,HB-1715
1995-89,SB-617
1995-89,HB-1825
1995-89,HB-1717
1995-89,HB-154
1995-89,HB-1204
1995-89,HB-1205
1995-89,SB-1216
1995-89,SB-952
1995-89,HB-1825
1995-89,HB-2576
1995-89,SB-1288
1995-89,SB-974
1995-89,HB-1825
1995-89,HB-1717
1995-89,HB-448
1995-89,SB-1026
1995-89,HB-1717
1995-89,SB-956
1995-89,HB-1111
1995-89,SB-956
1995-89,HB-448
1995-89,SB-1026
1995-89,HB-2399
1995-89,SB-519
1995-89,HB-2576
1995-89,SB-1288
1995-89,HB-984
1995-89,HB-2416
1995-89,HB-2676
1995-89,HB-2416
1995-89,HB-2263
1995-89,SB-426
1995-89,SB-588
1995-89,SB-519
1995-89,HB-2416
1995-89,HB-574
1995-89,HB-665
1995-89,HB-2416
1995-89,SB-1155
1995-89,HB-928
1995-89,HB-1432
1995-89,HB-1435
1995-89,HB-1469
1995-89,HB-1496
1995-89,HB-1497
1995-89,HB-1500
1995-89,HB-1518
1995-89,HB-1519
1995-89,HB-2409
1995-89,HB-2410
1995-89,HB-2414
1995-89,HB-2415
1995-89,HB-2416
1995-89,HB-2418
1995-89,HB-2421
1995-89,HB-2422
1995-89,HB-2424
1995-89,SB-951
1995-89,SB-953
1995-89,SB-1011
1995-89,HB-1825
1995-89,HB-1717
1995-89,HB-1114
1995-89,HB-141
1996-89,HB-2421
1996-89,HB-2576
1996-89,SB-1288
1996-89,HB-3407
1996-89,SB-956
1996-89,HB-3130
1996-89,SB-751
1996-89,SB-956
1996-89,SB-1568
1996-89,SB-952
1996-89,HB-1715
1996-89,HB-2421
1996-89,HB-3402
1996-89,SB-1373
1996-89,SB-617
1996-89,HB-1825
1996-89,HB-1717
1996-89,HB-154
1996-89,HB-3195
1996-89,HB-1204
1996-89,HB-1205
1996-89,SB-1216
1996-89,SB-952
1996-89,HB-1825
1996-89,HB-2576
1996-89,SB-1288
1996-89,SB-974
1996-89,HB-1825
1996-89,HB-448
1996-89,SB-1026
1996-89,HB-1205
1996-89,HB-1717
1996-89,SB-956
1996-89,HB-513
1996-89,HB-1152
1996-89,SB-1883
1996-89,HB-2576
1996-89,SB-1288
1996-89,HB-984
1996-89,HB-2416
1996-89,SB-1663
1996-89,HB-2416
1996-89,HB-2263
1996-89,SB-426
1996-89,SB-588
1996-89,SB-519
1996-89,HB-2416
1996-89,HB-574
1996-89,HB-665
1996-89,HB-2416
1996-89,HB-2803
1996-89,SB-1155
1996-89,SB-1723
1996-89,SB-1883
1996-89,HB-448
1996-89,HB-1714
1996-89,HB-3406
1996-89,SB-1026
1996-89,SB-1554
1996-89,SB-1883
1996-89,HB-928
1996-89,HB-1432
1996-89,HB-1435
1996-89,HB-1469
1996-89,HB-1496
1996-89,HB-1497
1996-89,HB-1500
1996-89,HB-1518
1996-89,HB-1519
1996-89,HB-2409
1996-89,HB-2410
1996-89,HB-2414
1996-89,HB-2415
1996-89,HB-2416
1996-89,HB-2418
1996-89,HB-2421
1996-89,HB-2422
1996-89,HB-2424
1996-89,HB-2891
1996-89,HB-2892
1996-89,HB-2893
1996-89,HB-3204
1996-89,HB-3551
1996-89,HB-3603
1996-89,HB-3604
1996-89,SB-326
1996-89,SB-951
1996-89,SB-953
1996-89,SB-1011
1996-89,SB-1890
1996-89,HB-1114
1996-89,SB-1883
1996-89,HB-1825
1996-89,HB-1717
1996-89,HB-444
1996-89,SB-1663
1996-89,HB-3401
1996-89,HB-141
1996-89,SB-1663
1996-89,SB-956
1997-90,SB-504
1997-90,SB-231
1997-90,SB-84
1997-90,HB-1329
1997-90,SB-96
1997-90,HB-2301
1997-90,SB-432
1997-90,HB-566
1997-90,SB-742
1997-90,HB-652
1997-90,HB-1175
1997-90,SB-470
1997-90,SB-471
1997-90,SB-95
1997-90,HB-672
1997-90,HB-2231
1997-90,SB-96
1997-90,HB-1159
1997-90,SB-541
1997-90,SB-313
1997-90,HB-821
1997-90,HB-566
1997-90,HB-178
1997-90,HB-900
1997-90,HB-901
1997-90,HB-902
1997-90,HB-1070
1997-90,HB-1071
1997-90,HB-1073
1997-90,HB-1763
1997-90,HB-1764
1997-90,HB-1765
1997-90,HB-1769
1997-90,HB-1771
1997-90,HB-1774
1997-90,HB-2021
1997-90,HB-2128
1997-90,HB-2234
1997-90,HB-2342
1997-90,HB-2343
1997-90,SB-181
1997-90,SB-765
1997-90,SB-766
1997-90,SB-886
1997-90,SB-1106
1997-90,HB-2051
1997-90,HB-644
1997-90,SB-742
1997-90,HB-652
1997-90,HB-1175
1997-90,HB-1329
1997-90,HB-75
1997-90,HB-866
1997-90,HB-900
1997-90,HB-901
1997-90,HB-902
1997-90,HB-1145
1998-90,SB-504
1998-90,SB-231
1998-90,SB-1441
1998-90,SB-84
1998-90,HB-2816
1998-90,HB-1329
1998-90,SB-96
1998-90,HB-2301
1998-90,HB-2810
1998-90,SB-432
1998-90,HB-566
1998-90,SB-742
1998-90,HB-652
1998-90,HB-1175
1998-90,SB-470
1998-90,SB-471
1998-90,HB-2231
1998-90,SB-742
1998-90,HB-2810
1998-90,SB-470
1998-90,SB-471
1998-90,HB-2814
1998-90,SB-432
1998-90,SB-96
1998-90,HB-1159
1998-90,HB-2827
1998-90,HB-2810
1998-90,HB-2814
1998-90,HB-178
1998-90,HB-900 
1998-90,HB-901
1998-90,HB-902
1998-90,HB-1070
1998-90,HB-1071
1998-90,HB-1073
1998-90,HB-1763
1998-90,HB-1764
1998-90,HB-1765
1998-90,HB-1769
1998-90,HB-1771
1998-90,HB-1774
1998-90,HB-2021
1998-90,HB-2128
1998-90,HB-2234
1998-90,HB-2342
1998-90,HB-2343
1998-90,HB-2890
1998-90,HB-3561
1998-90,HB-3678
1998-90,HB-3808
1998-90,SB-181
1998-90,SB-765
1998-90,SB-766
1998-90,SB-886
1998-90,SB-1106
1998-90,SB-1550
1998-90,SB-1581
1998-90,SB-1865
1998-90,HB-3181
1998-90,HB-2051
1998-90,HB-644
1998-90,SB-742
1998-90,HB-652
1998-90,HB-1175
1998-90,SB-470
1998-90,SB-471
1998-90,HB-1329
1998-90,HB-1145
1999-91,SB-275
1999-91,SB-511
1999-91,SB-935
1999-91,HB-1841
1999-91,HB-2877
1999-91,HB-1800
1999-91,HB-1188
1999-91,HB-2981
1999-91,HB-2877
1999-91,HB-1218
1999-91,HB-1799
1999-91,HB-422
1999-91,HB-2269
1999-91,HB-2035
1999-91,SB-387
1999-91,SB-443
1999-91,SB-934
1999-91,HB-1680
1999-91,HB-1109
1999-91,HB-1840
1999-91,SB-512
1999-91,SB-387
1999-91,HB-2336
1999-91,HB-1790
1999-91,HB-2035
1999-91,HB-2546
1999-91,SB-940
1999-91,HB-1782
1999-91,HB-940
1999-91,HB-992
1999-91,HB-1218
1999-91,SB-573
1999-91,HB-2110
1999-91,HB-939
1999-91,HB-2201
1999-91,HB-186
1999-91,HB-187
1999-91,HB-188
1999-91,HB-952
1999-91,HB-953
1999-91,HB-957
1999-91,HB-958
1999-91,HB-959
1999-91,HB-960
1999-91,HB-961
1999-91,HB-1758
1999-91,HB-2049
1999-91,HB-2050
1999-91,HB-2051
1999-91,HB-2052
1999-91,HB-2053
1999-91,HB-2054
1999-91,HB-2055
1999-91,HB-2056
1999-91,HB-2057
1999-91,HB-2058
1999-91,HB-2060
1999-91,HB-2336
1999-91,HB-2811
1999-91,HB-3002
1999-91,HB-3404
1999-91,SB-500
1999-91,SB-936
1999-91,SB-983
1999-91,SB-1514
1999-91,HB-2082
1999-91,HB-2374
1999-91,HB-2375
1999-91,HB-2376
1999-91,HB-2377
1999-91,HB-2877
1999-91,HB-1841
1999-91,HB-2981
1999-91,HB-1841
1999-91,SB-513
1999-91,SB-28
1999-91,HB-1799
1999-91,HB-1800
1999-91,HB-1680
1999-91,HB-1188
1999-91,HB-1776
1999-91,HB-2372
1999-91,HB-163
2000-91,SB-1890
2000-91,SB-275
2000-91,SB-511
2000-91,SB-935
2000-91,HB-1841
2000-91,HB-2877
2000-91,SB-1452
2000-91,HB-4632
2000-91,HB-1799
2000-91,HB-1800
2000-91,HB-1188
2000-91,HB-2981
2000-91,HB-2877
2000-91,SB-1452
2000-91,HB-4326
2000-91,SB-1913
2000-91,HB-422
2000-91,HB-2981
2000-91,HB-2269
2000-91,SB-956
2000-91,HB-2035
2000-91,SB-387
2000-91,HB-1680
2000-91,HB-1109
2000-91, HB-1840
2000-91,SB-512
2000-91,SB-387
2000-91,SB-940
2000-91,HB-1790
2000-91,HB-2035
2000-91,HB-758
2000-91,SB-956
2000-91,SB-189
2000-91,SB-352
2000-91,HB-2546
2000-91,HB-4326
2000-91,SB-1913
2000-91,SB-940
2000-91,HB-1782
2000-91,HB-940
2000-91,HB-992
2000-91,HB-1218
2000-91,SB-1922
2000-91,SB-573
2000-91,HB-2110
2000-91,HB-939
2000-91,HB-2201
2000-91,HB-186
2000-91,HB-187
2000-91,HB-188
2000-91,HB-952
2000-91,HB-953
2000-91,HB-957
2000-91,HB-958
2000-91,HB-959
2000-91,HB-960
2000-91,HB-961
2000-91,HB-1758
2000-91,HB-2049
2000-91,HB-2050
2000-91,HB-2051
2000-91,HB-2052
2000-91,HB-2053
2000-91,HB-2054
2000-91,HB-2055
2000-91,HB-2056
2000-91,HB-2057
2000-91,HB-2058
2000-91,HB-2060
2000-91,HB-2336
2000-91,HB-2811
2000-91,HB-3002
2000-91,HB-3404
2000-91,HB-3644
2000-91,HB-3645
2000-91,HB-3646
2000-91,HB-3647
2000-91,HB-3648
2000-91,HB-4317
2000-91,HB-4318
2000-91,HB-4319
2000-91,HB-4338
2000-91,HB-4596
2000-91,SB-500
2000-91,SB-936
2000-91,SB-983
2000-91,SB-1514
2000-91,SB-1679
2000-91,HB-2082
2000-91,HB-2374
2000-91,HB-2375
2000-91,HB-2376
2000-91,HB-2377
2000-91,HB-2877
2000-91,SB-1452
2000-91,HB-1841
2000-91,HB-3871
2000-91,HB-2981
2000-91,HB-1841
2000-91,SB-513
2000-91,SB-28
2000-91,HB-1799
2000-91,HB-1800
2000-91,HB-4326
2000-91,HB-1680
2000-91,HB-1188
2000-91,HB-1776
2000-91,HB-4089
2000-91,HB-2372
2000-91,HB-163